"id","name","sku","coordinates"
1,"SOUPAPE, ADMISSION","1MC-12111-01","{""top"":391.39,""left"":-235.184}"
1,"SOUPAPE, ADMISSION","1MC-12111-01","{""top"":518.553,""left"":-180.031}"
2,"SOUPAPE, ECHAPPEMENT","5JW-12121-02","{""top"":637.83,""left"":-312.989}"
2,"SOUPAPE, ECHAPPEMENT","5JW-12121-02","{""top"":543.197,""left"":-487.311}"
3,"SIEGE, RESSORT DE SOUPAPE","5JW-12116-00","{""top"":385.475,""left"":-79.5746}"
3,"SIEGE, RESSORT DE SOUPAPE","5JW-12116-00","{""top"":282.956,""left"":-236.169}"
3,"SIEGE, RESSORT DE SOUPAPE","5JW-12116-00","{""top"":554.041,""left"":-373.066}"
3,"SIEGE, RESSORT DE SOUPAPE","5JW-12116-00","{""top"":465.322,""left"":-545.419}"
4,"RESSORT DE SOUPAPE, INTERNE","5JW-12113-00","{""top"":334.216,""left"":-81.5443}"
4,"RESSORT DE SOUPAPE, INTERNE","5JW-12113-00","{""top"":237.611,""left"":-235.184}"
4,"RESSORT DE SOUPAPE, INTERNE","5JW-12113-00","{""top"":509.681,""left"":-399.658}"
4,"RESSORT DE SOUPAPE, INTERNE","5JW-12113-00","{""top"":417.02,""left"":-572.995}"
5,"BUTEE DE RESSORT DE SOUPAPE","5JW-12117-00","{""top"":287.885,""left"":-79.5746}"
5,"BUTEE DE RESSORT DE SOUPAPE","5JW-12117-00","{""top"":181.423,""left"":-234.199}"
5,"BUTEE DE RESSORT DE SOUPAPE","5JW-12117-00","{""top"":478.137,""left"":-421.325}"
5,"BUTEE DE RESSORT DE SOUPAPE","5JW-12117-00","{""top"":384.49,""left"":-592.693}"
6,"FRAISE, SOUPAPE","1AA-12118-00","{""top"":260.284,""left"":-80.5594}"
6,"FRAISE, SOUPAPE","1AA-12118-00","{""top"":159.736,""left"":-235.184}"
6,"FRAISE, SOUPAPE","1AA-12118-00","{""top"":460.393,""left"":-437.083}"
6,"FRAISE, SOUPAPE","1AA-12118-00","{""top"":364.774,""left"":-604.511}"
